Restaurant Name,Image URL,Photograph Credit,Summary,Tags,Read More Link,Time Out says,Star Rating,Review Content,Address,Contact,Menu Link,Opening Hours
 Gage & Tollner,https://media.timeout.com/images/105775049/750/562/image.jpg,Photograph: Courtesy Lizzie Munro,"What is it? At once an emblem of Old New York and a relative newcomer, Gage & Tollner was revived well over a century after first opening at this location in 1892. A trio of Brooklyn hospitality pros, including chef Sohui Kim, reopened the august institution to quick acclaim in 2021. Why we love it? G&T's landmarked interior, which hosted several unrelated businesses before its latest unveiling, is beautiful: enveloped in crimson velvet, gilded and appointed with towering mirrors to reflect all its splendor. The menus are terrific, too, abundant with steaks, chops, seafood towers, sensational fried chicken and best-in-class desserts. The recent addition of weekend lunch service makes the tough-to-book Brooklyn jewel a little bit easier to get into. Check out Sunken Harbor Club upstairs, too, if you get the chance.","['Restaurants', 'Downtown Brooklyn']",https://www.timeout.com/newyork/restaurants/gage-tollner,One of Brooklyn's most beautiful destinations is back for the roaring 2020s.,4,"Gage & Tollner is beautiful. Twirl through its revolving door and you’ll enter into a gilded dining room that seems like it goes on forever. On your left, heavy wood is topped with lilting marble to form a stylish, throwback bar. Straight ahead, circular tables look like figurines poised to glide across the glassine surface of an animatronic music box. And cushy crimson velveteen booths line either side of its 134-seat space. It’s lush and plush and suffused with golden hues.
Located in a building that has lived many lives, including as an accessories shop, an Arby’s and a previous iteration of Gage & Tollner that was at one point famously helmed by chef Edna Lewis), it was recently revived by longtime Brooklyn hospitality fixtures chef Sohui Kim, Ben Schneider and St. John Frizell this spring. They were able to restore the space to its former majesty thanks in part to a 1975 interior landmark designation that ensured the preservation of original design details like brass chandeliers and cherry wood trimmings. Mirrors also abound throughout, including a wall of ‘em on the far back wall that creates that forever-effect.
Visit Gage & Tollner any number of times, and you’ll probably hear some equivalent of this: G&T’s original owner posited that “guests would eventually tire of looking at artwork, but they would never tire of looking at themselves,” on every trip.
It’s a cute anecdote, and it’s even cuter to imagine a time when guests would have looked at art or themselves, instead of, say, lovely arrangements of fresh-shucked oysters or clams ($24 and $16 per half-dozen, respectively) through an Instagram filter. Oh, fine, take a photo or three, it’s still hard enough to get a table here that you’ll want something to remember it by. 
The perfect cocktails from the bar are good candidates for the grid, and hard to bungle. You won’t even need to flash the old fashioned ($15), its blocks of ice refracting candlelight like big diamonds suspended in amber liquid. All the classic cocktails are here, too, including seven martini varieties (each $16). 
There are a few impressive steaks and chops to choose from, though, on a recent visit, we were told there weren’t any bone-in ribeye cuts ($4.25 an ounce) appropriately portioned for one, and the rest of the table was already excited about other entrées. The dry-aged NY strip ($57) was a suitable compromise instead; richly butter-basted, kissed with char outside, the desired shade of mauve inside and served with a hearty half-head of roasted garlic. 
Gage & Tollner is a steak and chops kind of place, with raw bar items too expertly prepared to be regarded as ornamental, but nice to look at nonetheless. It’s the fried chicken, however, that’s beyond reproach–crispy skin a topography of flavor protecting the juicy meat inside. It's marvelously paired with a perky kale/kimchi slaw and springy cornmeal fritters that, all together, amount to the envy of the table. 
For dessert, pastry chef Caroline Schiff’s incredible baked alaska for two slakes any order envy, given its ability to satiate twice that many and its brilliant composition. It is a texture and flavor triumph that layers dark chocolate, amarena cherry, and mint ice cream and encases it all in a just-sweet-enough merengue so light it might float up to the ceiling were it not firmly nestled in a bed of crumbled chocolate cookies. 
If you’ve ever had a baked alaska, you might expect it to be set alight at your table. Gage & Tollner does not do that. Instead, its baked alaska is meticulously torched inch by inch in the kitchen to create an even surface that elevates the meringue for a jubilant final product. But you won’t miss the flames. When something is this lovely, there’s no need to gild the lily. 
Vitals
The Vibe: An unpretentious Old New York throwback that’s as inviting as it is ornate and a little like dancing at someone else's wedding. 
The Food: Steaks and chops and raw bar items and excellent fried chicken. The creamed spinach is also a nice, comforting side, and the devils on horseback, which wrap dates and smoked almonds in bacon, are a sweet/salty treat.   
The Drinks: We love a martini menu, and Gage & Tollner’s includes seven. The rest of the options are more classic cocktails than most can likely name, and, with so little room for improvement, they’d probably manage to perfect a white wine spritzer here, too. 
Time Out Tip: Reservations are still hard to come by, but Gage & Tollner recently opened up its bar for walk-ins. Sidle up alone; with all those mirrors you’ll have multiples of you for company.","372 Fulton St, Brooklyn, 11201",347-689-3677,https://www.gageandtollner.com/gage-and-tollner-menus/,"Wednesday-Sunday, 5-10pm."
 Crown Shy,https://media.timeout.com/images/105905305/750/562/image.jpg,Photograph: Courtesy of Chris Payne,"What is it? An excellent entrée to NYC’s nicer-than-normal restaurants, Crown Shy is as suitable for a special occasion as it is for an evening that unexpectedly turns a bit fancy. The 2019 opening was longtime chef de cuisine at Michelin-starred Eleven Madison Park James Kent’s first solo venture. Why we love it? Handsome, distinguished, and ultimately as delightful as a twirl around a ball, a visit to this sweeping space, where the spirits are as high as the ceilings, simply always seems important. The soothing Gruyère fritters that helped launch it all in 2019 are still here, as is a version of Crown Shy’s original short rib and a newer pork chop. Overstory is also sensational for drinks with a view after dinner.","['Restaurants', 'American', 'Financial District']",https://www.timeout.com/newyork/restaurants/crown-shy,,4,"Nestled inside 70 Pine Street is a maître d' desk auspiciously stationed in the lobby of a highly sought-after Art Deco building. You might not know that hidden behind the stand is one of New York’s hottest new restaurants: Crown Shy.
I was happily surprised that at 6pm on a recent Friday, the space, located steps from Wall Street, was packed with a non-douchey crowd—not one conversation about ROIs was overheard. Crown Shy gives the illusion that it’s more chill than the address would infer: Servers wear white T-shirts and light-wash jeans with black high-top Converse, while Snoop Dogg’s “Drop It Like It’s Hot” hums through the speakers. 
For a moment, you might forget it’s all orchestrated by New York fine-dining elite: Crown Shy is the first collaboration between James Kent, longtime Chef de Cuisine at Michelin-starred Eleven Madison Park and Executive Chef at NoMad, alongside Jeff Katz, Managing Partner of Del Posto.
First off, I love nothing more than a complimentary bread basket. Few restaurants offer it today, but Crown Shy’s pull-apart loaf with lemon zest and olive tapenade makes a strong case for a carb comeback. 
We also feasted on gruyère fritters ($13) with chili and lime, essentially savory churros with a coating similar to the powdered cheese on junk food popcorn; an early signal that we were allowed to have fun in a fine-dining environment.
Still, it seemed odd that the fritters were more expensive than the much more elevated roasted sunchokes with cheddar and hazelnuts, the safest but most robust small plate ($12). This was followed by charred carrots atop a blanket of creamy razor clam foam, making the root vegetable look like it was sitting in a decadent first snow. The unorthodox use of horseradish with chicken-liver ragu ($18) was one of the best bites. I actually wanted more of the sharp, hot pepperiness in my sinuses to be turned up a few notches (years of Passover meals have primed me to handle much more horseradish).
For mains, we began with the buttery branzino, swimming in an orange pool of squash mole; a towel made of fines herbs helps dry off some of the richness ($29). The perfectly tender grilled pork chop ($35) was presented like a topographic map; carefully placed cubed Asian pears with mustard punctuate the landscape.
I’m not one to order just a scoop of ice cream after a meal, but something about pastry chef, Renata Ameni’s satsuma orange flavor told me to reconsider. The dessert, served with a hat of toasted marshmallow and crumbles of honeycomb, tasted like a creamsicle; a big enough scoop for sharing ($9). Residents of 70 Pine are quite spoiled with Crown Shy as their “neighborhood joint” that they don’t have to leave the premises to enjoy.","70 Pine St, New York, 10005",2125171932,,
 Tatiana by Kwame Onwuachi,https://media.timeout.com/images/106027457/750/562/image.jpg,Photograph: Courtesy of Adrian Gaut,"What is it? The buzziest restaurant of 2023 (which actually opened in 2022) is as good as you’ve heard, and maybe even better. It follows Bronx-raised chef Kwame Onwuachi's D.C. restaurants, Top Chef season and James Beard award. Why we love it? Its ethereal space, where sunshine streams in by day, and light fixtures fashioned after clouds are suspended overhead, is as comfortable as it is cooly grand. Its Afro-Caribbean-influenced menu lists one stunner after another, and its short rib pastrami is New York City’s can’t miss dish.","['Restaurants', 'Upper West Side']",https://www.timeout.com/newyork/restaurants/tatiana-by-kwame-onwuachi,A sizzling hotspot that actually exceeds expectations.,5,"The buzziest restaurants in New York City are not always the best. Expectations inflated by press, hashtags, and exclusivity burst like birthday balloons in the power lines when that Next Best Thing turns out to be just fine. Tatiana by Kwame Onwuachi, which opened in November at Lincoln Center, is the rare New York City hotspot that actually exceeds its tremendous surrounding hype. 
Tatiana follows Bronx-raised Onwuachi’s early career years in some of NYC’s most esteemed restaurants, his Top Chef season, a pair of D.C. operations, book publications and accolades like the James Beard Foundation’s rising star chef of the year award in 2019. His first local destination, with Afro-Caribbean-influenced menus in a soaring, uncommonly inviting space, is a triumph. 
The sweeping venue is distinguished, chicly industrial and makes you feel like you’ve arrived, especially after what was probably a long and/or circuitous route to finally landing a table. Huge windows suffuse the polished dining room with natural light filtered by delicate metallic curtains. Large cumulus cloud fixtures hover toward the ceiling. The armchairs opposite a banquette with its back to Lincoln Center’s plaza are, uniquely, as comfortable as the cushy bench they face; nicely sized, substantially anchored and designed for ease. The custom pieces are a relief, and a demonstration of a detailed commitment to hospitality, particularly in light of the recent threatening trend of truly awkward seats, including the glorified tree stump-like tests of core strength at another hotspot elsewhere in town. 
There is also a ton to love on Tatiana’s one-page menu, divided into small and large shares. The curried goat patties ($26) are an excellent introduction to some of the kitchen’s rich protein preparations, plated three to an order with golden, flaky exteriors and sides of mango chutney and creamy aioli. The crispy okra ($15), also grouped among the starters, is a dish of fun abundance, with fresh texture and a patina of honeyed sweetness that, while tasty, cloaks the item’s listed mustard and peppa sauce.  
When reservations are this hard to come by, ordering can turn from simply taste-slaking to high-stakes strategy. I really don’t think you can go wrong here, and Tatiana adeptly factors seafood, poultry and vegetable options into its offerings to cover all manner of desires, but I will have a hard time skipping its exquisite red meat varieties on any lucky returns. 
Braised oxtails ($52) from the menu’s larger shares practically melt off the bone under a somewhat tangy, nearly-sugared glaze. Each silken bite is almost impossibly decadent with depths of flavor that bring conversation to a halt. 
Tatiana’s undeniable standout, however, (an exalted designation on an all-star lineup) is its short rib pastrami ($85), which has been presented a couple of different ways over the last eight months. Its wonderfully marbled, tender Wagyu is presently sliced and arranged to curve around a tight pile of crisp, slightly tart red cabbage alongside gleaming pillows of caraway coco bread. Both a perfect pastrami and sensational steak, like Tatiana’s welcoming warmth, there’s nothing else quite like it in New York City right now. 
Vitals 
The Vibe: Polished, comfortable fine dining that puts you at ease in an inviting space. 
The Food: Destination-making short rib pastrami, braised oxtails, crispy okra and curried goat patties are highlights among outstanding Afro-Caribbean menu items. 
The Drinks: Tatiana’s Miami Vice is one of NYC’s best frozen drinks, its classics are top-notch and its wine list is studiously curated. 
Tatiana is located at 10 Lincoln Center Plaza. It is open for dinner Monday-Saturday from 5pm-10pm","10 Lincoln Center Plaza, NYC, 10023",212-875-5222,https://www.tatiananyc.com/menus,Dinner: Monday-Saturday from 5pm-10pm.
 Gramercy Tavern,https://media.timeout.com/images/105853313/750/562/image.jpg,Photograph: Courtesy Gramercy Tavern/Daniel Krieger,"What is it? A New York City classic among New York City classics, Gramercy Tavern is both a special occasion destination and an every day, but better, kind of place. It’s the special sort of spot where you arrange to go after you’ve become engaged, or simply slip into to escape a sudden rain. Why we love it? Big night out atmosphere crackles in the dining room in the back and the tavern space up front, with a bar that that feels like the place to be. The dining room’s $168 five-course tasting, which presently includes lamb or a roasted duck breast, is splendid for a splurge, or you can order à la carte in the (also lovely) tavern section, where every main is $38 or less.","['Restaurants', 'American creative', 'Flatiron']",https://www.timeout.com/newyork/restaurants/gramercy-tavern,,0,"A Central Casting, New York City classic if there ever was one, Gramercy Tavern has maintained its status even after minor tweaks and changes over its nearly three decades in Manhattan. The tavern up front, bordered by a long bar on the left, serves à la carte items like duck liver mousse, grilled striped bass and a burger with duck fat potato chips. The somewhat dated but darling back dining room, with white tablecloths more effortless than anywhere else above 14th Street, offers five courses for $168 with plates like pork tortellini, pan-seared halibut and roasted duck.","42 E 20th St, New York, 10003-13",212-477-0777,,Daily from 11:30am-10:30pm
 Dhamaka,https://media.timeout.com/images/105782761/750/562/image.jpg,Photograph: Courtesy Will Ellis,"What is it? NYC’s dazzling best new restaurant of 2021 with dishes seldom seen on local menus. Why we love it? The unstoppable Unapologetic Foods team spotlights what they refer to as “the forgotten side of India.” Dhamaka recently updated most of its menu, but favorites like the gurda kapoora (goat kidney, testicles, red onion and pao)  and champaran meat (mutton, garlic, red chili) remain. The group has continued opening new venues since Dhamaka, including Rowdy Rooster, which serves the best new fried chicken sandwich in NYC, and Masalawala & Sons, which was one of 2022's best new restaurants.","['Restaurants', 'Lower East Side']",https://www.timeout.com/newyork/restaurants/dhamaka,Lesser-seen Indian dishes from the hit-making team behind Adda and Rahi.,0,"Essex Market’s brand new “unapologetic Indian” restaurant is from the team behind Adda, one of the best restaurants in NYC. Even shortly after opening, it looks like Dhamaka’s on its way there, too.
We’ve been looking forward to this new venue since 2019, and that anticipation made Dhamaka’s opening even more exciting. Approaching this dazzingly pretty Indian restaurant at Essex Market makes you feel like you’ve arrived. Inside, menu items from that they call “the forgotten side of India” include gurda kapoora (goat kidney, testicles, red onion and pao) doh khleh (pork with lime, cilantro, onion and ginger) and champaran meat (mutton, garlic, red chili), which sells out fast. Beer and cocktails are also available. 
Dhamaka is located at 119 Delancey Street and is open Tuesday–Sunday from 5pm–10pm.","119 Delancey Street, New York, 10002",212.204.8616,,Tuesday–Sunday from 5pm–10pm.
 Kochi,https://media.timeout.com/images/105551218/750/562/image.jpg,Photograph: Courtesy Kochi /Melissa Hom,"What is it? Per se alum chef Sungchul Shim’s $145 nine-course tasting of skewers inspired by Korean royal court cuisine. A sool pairing is also available for $105. Why we love it? Kochi first opened in 2019 and was subsequently awarded a Michelin star. Ordering everything on the menu is usually relegated to daydreams, but at Kochi, it’s possible. Courses include items like charcoal grilled Spanish mackerel and braised short rib. Shim followed Kochi's success with five-star restaurant Mari late in 2021, which also collected a sparkler in 2022.","['Restaurants', 'Korean', ""Hell's Kitchen""]",https://www.timeout.com/newyork/restaurants/kochi,,0,"Chef Sung Shim, previously of Le Bernardin and Per Se, first opened Kochi in 2019. The Hell's Kitchen destination went on to earn a Michelin star and a Time Out New York Best of the City award for its Korean royal court and street food-influenced menus, among other accolades. Today, its nine-course skewer tasting is $145 for preparations featuring American Wagyu, king salmon and a few pearls of caviar. Shim also operates five-star Mari restaurant nearby.","652 10th Ave, New York, 10036",,,
 Rezdôra,https://media.timeout.com/images/105469591/750/562/image.jpg,Photography: Kathryn Sheldon,"What is it? New York City's best Italian restaurant. Rezdôra follows chef Stefano Secchi's turn at highly-regarded Osteria Francescana in Modena, Italy. Why we love it? Dinner at Rezdôra feels like a new culinary experience even for people who grew up on pasta night. Individual plates are available, but its $98 regional pasta tasting is an exciting tour of the restaurant's best. Prime time reservations are still tough to acquire, but you should be able to ease in for weekday lunch.","['Restaurants', 'Italian', 'Flatiron']",https://www.timeout.com/newyork/restaurants/rezdora,,0,"Chef Stefano Secchi came up at triple-Michelin starred Osteria Francescana in Modena, Italy, prior to opening his own sensational spot in Manhattan in 2019. Rezdôra is now the best Italian restaurant in New York City, leading a list of venerable institutions. Its terrific regional pasta tasting is still $98, and favorites like anolini di parma, tagliolini al ragu and the famed grandma walking through forest in Emilia (Cappelletti verdi with roasted, sautéed leeks and black mushroom purée) are available à la carte, as well.","27 East 20th Street, New York, 10003",,,
 Atoboy,https://media.timeout.com/images/105538002/750/562/image.jpg,Courtesy Atoboy/Diane Kang,"What is it? Chef Junghyun Park’s array of modern Korean small plates are presented in five courses for a set price of $75. Fried chicken with gochujang and spicy peanut sauce is available as an add-on for $28. Why we love it? Tasting menus are one of the best ways to sample as much as possible, but some are too rigid and prohibitively expensive. Park’s prix-fixe is more affordable than most, and you’ll get to choose from a few options for some courses.","['Restaurants', 'Korean', 'Flatiron']",https://www.timeout.com/newyork/restaurants/atoboy,,0,"The Korean-influenced cuisine at Atoboy, which first opened its warmly industrial-cool space in 2016, spans four fantastic courses for $75, including gratuity. You’ll start with lovely sea urchin, then choose from items like beef tartare, sunchokes, scallops, bass or pork belly to complete the meal. Rice and banchan are included, and a fried chicken supplement is available for $28.","43 E 28th St, New York, 10016",646-476-7217,,
 Sushi Nakazawa,https://media.timeout.com/images/101435865/750/562/image.jpg,Photograph: Paul Wagtouicz,"What is it? Incredible omakase from Jiro Dreams of Sushi’s chef Daisuke Nakazawa. Why we love it? This city’s full of expensive omakase, and Sushi Nakazawa has all the exquisite quality and reverent ambiance of its tip-top price peers for a slightly less account-clearing sum. It is not unexpected to see $300+ chef’s selections at NYC’s best sushi restaurants, but reservations at Nakazawa’s counter are $180 for about 20 palate-changing courses like fatty tuna, sea urchin and yellowtail. It’s $150 in the peaceful dining room, and perfect sake pairings are $90. Nakazawa followed his eponymous first spot with Saito in 2022.","['Restaurants', 'Japanese', 'West Village']",https://www.timeout.com/newyork/restaurants/sushi-nakazawa,,4,"The first time I visited Sushi Nakazawa, it was as if that oft-cited eighty percent of the unexplored ocean had been revealed to me—the toro, uni, squid and salmon simply swimming in a different class than anything else I’d ever had. The expensive, expansive, multi-course omakase’s items could not have been fresher; their presentation, even more beautiful than the quietly elegant surroundings.
That initial visit was a little closer to the eponymous chef made famous by the film Jiro Dreams of Sushi’s 2013 NYC debut, but more recent visits have elicited the same delight. At $150 in the dining room and $180 at the counter, it still isn’t cheap, but it’s a heck of a lot less than its present-day peers for enduring excellence. Nakazawa also opened another terrific spot, Saito, in 2022.","23 Commerce St, NY, 10004",212-924-2212,,Daily from 11:30am-2pm and 5pm-10pm.
 Clover Hill,https://media.timeout.com/images/105886584/750/562/image.jpg,Photograph: Courtesy of Ezra Pollard,"What is it? One of last year’s best new restaurants on a picturesque block in Brooklyn. In addition to our early five star review, the special occasion tasting spot went on to further accolades like a Michelin star and the guide’s young chef of the year award for co-owner Charlie Mitchell. Why we love it? In New York City, nothing is truly ever “off the beaten path.” So-called hidden gems are somebody’s regular. But a place can be a bit more tucked away than the rest, mapped as hard to reach in paces from the subway. Sweet, petite Clover Hill is just that, situated on an almost unbelievably telegenic little reach of westernmost Brooklyn Heights. Starting at $265 per person, the relaxed fine dining destination is priced to match its excellently sourced and executed, multi-course, seasonally updated and typically seafood forward menu. ","['Restaurants', 'Brooklyn Heights']",https://www.timeout.com/newyork/restaurants/clover-hill,A wonderful new Brooklyn Heights tasting destination,5,"There is a pair of idyllic views from the Brooklyn-Queens Expressway heading north right after Atlantic Avenue. In the distance to the left: An expanse of the East River and the Manhattan skyline. Just to the right: A bird's-eye look at a little pocket of Brooklyn Heights that seems to write in swoopy script across your windshield, if you lived here you’d be home now. 
That those homes are all unspeakably expensive makes it curious that the neighborhood was recently absent a special occasion destination restaurant. But if you were to ride an umbrella down from the BQE to the sidewalk like Mary Poppins, you’d land near Clover Hill, a wonderful new spot that brilliantly fills that gap along with some everyday dining options as well. 
Clover Hill first opened in the former location of the highly-regarded Iris Café in December of 2019 with the previous occupant’s manager, Clay Castillo and his friend-turned business partner Gabriel Merino at the helm. The pair had to close shortly thereafter due to the pandemic, and linked with executive chef Charlie Mitchell (Eleven Madison Park) before reopening for daytime operations this past February. Dinner service began in March. 
Its address is even more charming at street level than from traffic fantasies. Located on the one-block stretch of Columbia Place between State and Joralemon, it feels like a secret, tree-lined annex to one of the few parts of NYC that could still almost pass for a hamlet. It’s as leafy and quaint as the rest of the surrounding area, but the roadway towering overhead gives it a particularly secluded quality.   
Inside, there are 34 seats (including six at the bar) between large picture windows up front and an open kitchen in the back. Its precisely-executed Brooklyn aesthetic seems honestly achieved. Prints and vintage portraits line white-painted brick walls above hardwood floors. Plants and petite lamps are spaced throughout. The ambient music could have been the soundtrack for an elder-millennial middle school dance.
By day (Friday through Sunday from 9am to 3pm), the brunch menu is a primer on the excellent sourcing and preparation that Mitchell brings to the kitchen. A croque fromage ($18), French omelette, ($19) and short rib cannelloni ($36) feature among the relatively lengthy menu. The evening prix fixe cements Clover Hill’s destination status. 
Like many NYC tasting menus, Clover Hill’s will change based on seasonal availability. A recent roster, $135 for seven French and new-American influenced courses, was seafood-focused and abundant with spring vegetables. A $95 wine pairing is nicely calibrated with each dish.  
To start, a trio of house-made, baked rye tart shells are filled with ingredients like asparagus and a ranch crème fraîche that, in two bites, goes a long way to promise not only an expertly-conceived dinner to come, but also a fun one. Pop it first, you’re advised, then the hiramasa (often called yellowtail kingfish) and the shima-aji (likewise, striped jack) varieties, which both pack more flavor than their miniature surface areas imply. It’s a jubilant beginning combined with the pairing’s sparkling chardonnay blend. 
The aguachile that follows is among Mitchell’s most outstanding plates. Kombu-cured scallops reach an impeccably silken finish, served in a vibrant mussel bouillon with snappy, lime vin-marinated fava beans and crowned with osetra caviar. Its companion pour is an appropriately bright Greek variety. 
A couple of courses later, you’ve likely dipped into bolder red wines that portend items like a stuffed fluke that perfects the task of marrying varied notes while still keeping their separate qualities intact. The fish is slow-cooked in clarified butter and stuffed with minced crimini mushrooms and truffles that pop with a bracing earthy essence among dainty spring peas all served atop a deep, somewhat smoky Wellington sauce. Its a triumphant combination that also demonstrates style, skill and expertise in the kitchen.  
The final savory course is similarly dynamic, this time fixing a thin layer of foie gras and lobster beneath beautifully deep-golden chicken skin. Its wispy, crustaceous perfume, embedded in the breast and present in a sauce Américaine, links this last main to the rounds of wonderful seafood that preceded it. 
Dinner finishes with two presentations from pastry chef Vanessa Matonis that outdo standard issue restaurant desserts. The first is a perky citrus gelato with Cara Cara oranges and a texture-amplifying coconut crumble. It's followed by a light rum baba visibly laced with lightly spiced swirls, and served alongside a pour of its titular spirit, if you’ve splurged on the wine pairing. One more sweet surprise caps the exceptional experience. 
Vitals
The Vibe: Tucked away on a picturesque one-block street with a cozy, comfortable dining room that seats a few dozen.    
